Symbol,Name,Last,Change,%Change,Open,High,Low,Volume,Time
SMCI,"Super Micro Computer",52.36,0.79,+1.53%,51.67,54.03,51.37,27883066,"16:29 ET"
SNPS,"Synopsys Inc",456.83,-8.58,-1.84%,461.68,462.4,445,2152371,"16:29 ET"
STX,"Seagate Technology Hldgs Plc",223,-7.32,-3.18%,229.18,230,217.67,6100319,"16:29 ET"
SWKS,"Skyworks Solutions",80.26,4.42,+5.83%,85.66,90.9,80.14,11101017,"16:29 ET"
TDY,"Teledyne Technologies Inc",525.45,-3.01,-0.57%,529.67,529.94,524.21,276060,2025-10-28
TEL,"Te Connectivity Ltd",236.54,-0.2,-0.08%,237.84,239.75,233.84,2941717,2025-10-28
TER,"Teradyne Inc",144.38,-3.12,-2.12%,147.05,147.62,144.11,4688786,"16:29 ET"
TRMB,"Trimble Navigation",80.5,-0.62,-0.76%,81.12,81.62,80.35,1496028,"16:18 ET"
TXN,"Texas Instruments",166.91,-2.5,-1.48%,169.14,169.51,166.49,9620327,"16:29 ET"
TYL,"Tyler Technologies",510.68,1.62,+0.32%,505.89,513.32,504.67,211450,2025-10-28
VRSN,"Verisign Inc",240.37,-6.85,-2.77%,245.18,247.21,239.31,1097319,"16:24 ET"
WDAY,"Workday Inc",236.93,-1.98,-0.83%,238.36,241.83,236.68,1725194,"16:28 ET"
WDC,"Western Digital Corp",124.92,-1.75,-1.38%,126.7,126.82,121.85,6934582,"16:29 ET"
ZBRA,"Zebra Technologies",274.31,-36.26,-11.68%,293.49,293.49,259.01,3121449,"16:29 ET"
"Downloaded from Barchart.com as of 10-28-2025 04:51pm CDT"
